country,2020
Afghanistan,18.4
Albania,36.4
Algeria,28.5
Angola,16.7
Antigua and Barbuda,34.0
Argentina,31.5
Armenia,35.4
Aruba,41.0
Australia,37.9
Austria,43.5
Azerbaijan,32.3
Bahamas,32.3
Bahrain,32.5
Bangladesh,27.6
Barbados,40.5
Belarus,40.3
Belgium,41.9
Belize,25.5
Benin,18.8
Bhutan,28.1
Bolivia,25.6
Bosnia and Herzegovina,43.1
Botswana,24.0
Brazil,33.5
Brunei,32.3
Bulgaria,44.6
Burkina Faso,17.6
Burundi,17.3
Cape Verde,27.6
Cambodia,25.6
Cameroon,18.7
Canada,41.1
Central African Republic,17.6
Chad,16.6
Channel Islands,42.6
Chile,35.3
China,38.4
Taiwan,42.5
Colombia,31.3
Comoros,20.4
Congo,19.2
Costa Rica,33.5
Cote d'Ivoire,18.9
Croatia,44.3
Cuba,42.2
Cyprus,37.3
Czechia,43.2
Democratic Republic of Congo,17.0
Denmark,42.3
Djibouti,26.6
Dominican Republic,28.0
Ecuador,27.9
Egypt,24.6
El Salvador,27.6
Equatorial Guinea,22.3
Eritrea,19.2
Estonia,42.4
Eswatini,20.7
Ethiopia,19.5
Fiji,27.9
Finland,43.1
France,42.3
French Guiana,25.1
French Polynesia,33.6
Gabon,22.5
Gambia,17.8
Georgia,38.3
Germany,45.7
Ghana,21.5
Greece,45.6
Grenada,32.0
Guadeloupe,43.7
Guam,31.4
Guatemala,22.9
Guinea,18.0
Guinea-Bissau,18.8
Guyana,26.7
Haiti,24.0
Honduras,24.3
Hungary,43.3
Iceland,37.5
India,28.4
Indonesia,29.7
Iran,32.0
Iraq,21.0
Ireland,38.2
Israel,30.5
Italy,47.3
Jamaica,30.7
Japan,48.4
Jordan,23.8
Kazakhstan,30.7
Kenya,20.1
Kiribati,23.0
Kuwait,36.8
Kyrgyzstan,26.0
Laos,24.4
Latvia,43.9
Lebanon,29.6
Lesotho,24.0
Liberia,19.4
Libya,28.8
Lithuania,45.1
Luxembourg,39.7
Madagascar,19.6
Malawi,18.1
Malaysia,30.3
Maldives,29.9
Mali,16.3
Malta,42.6
Martinique,47.0
Mauritania,20.1
Mauritius,37.5
Mayotte,20.1
Mexico,29.2
Micronesia,24.4
Mongolia,28.2
Montenegro,38.8
Morocco,29.5
Mozambique,17.6
Myanmar,29.0
Namibia,21.8
Nepal,24.6
Netherlands,43.3
New Caledonia,33.6
New Zealand,38.0
Nicaragua,26.5
Niger,15.2
Nigeria,18.1
North Macedonia,39.1
Norway,39.8
Oman,30.6
Pakistan,22.8
Panama,29.7
Papua New Guinea,22.4
Paraguay,26.3
Peru,31.0
Philippines,25.7
Poland,41.7
Portugal,46.2
Puerto Rico,44.5
Qatar,32.3
South Korea,43.7
Moldova,37.6
Réunion,35.9
Romania,43.2
Russia,39.6
Rwanda,20.0
Saint Lucia,34.5
Saint Vincent and the Grenadines,32.9
Samoa,21.8
Sao Tome and Principe,18.6
Saudi Arabia,31.8
Senegal,18.5
Serbia,41.6
Seychelles,34.2
Sierra Leone,19.4
Singapore,42.2
Slovakia,41.2
Slovenia,44.5
Solomon Islands,19.9
Somalia,16.7
South Africa,27.6
South Sudan,19.0
Spain,44.9
Sri Lanka,34.0
Sudan,19.7
Suriname,29.0
Sweden,41.1
Switzerland,43.1
Syria,25.6
Tajikistan,22.4
Thailand,40.1
Timor-Leste,20.8
Togo,19.4
Tonga,22.4
Trinidad and Tobago,36.2
Tunisia,32.8
Turkey,31.5
Turkmenistan,26.9
Uganda,16.7
Ukraine,41.2
United Arab Emirates,32.6
United Kingdom,40.5
Tanzania,18.0
United States,38.3
Uruguay,35.8
Uzbekistan,27.8
Vanuatu,21.1
Venezuela,29.6
Vietnam,32.5
Western Sahara,28.4
Yemen,20.2
Zambia,17.6
Zimbabwe,18.7
